movie_name,year,tags
jawan,2023,action thriller a high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society. atlee shah rukh khan nayanthara vijay sethupathi deepika padukone 
jaane jaan,2023,crime drama mystery a single mother and her daughter who commit a crime and a neighbor who helps them cover it up amidst a police investigation. sujoy ghosh kareena kapoor jaideep ahlawat vijay varma saurabh sachdeva 
jailer,2023,"action comedy crime a retired jailer goes on a manhunt to find his son's killers. but the road leads him to a familiar, albeit a bit darker place. can he emerge from this complex situation successfully? nelson dilipkumar rajinikanth mohanlal shivarajkumar jackie shroff "
rocky aur rani kii prem kahaani,2023,"comedy drama family flamboyant punjabi rocky and intellectual bengali journalist rani fall in love despite their differences. after facing family opposition, they decide to live with each other's families for three months before getting married. karan johar ranveer singh alia bhatt dharmendra shabana azmi "
omg 2,2023,comedy drama an unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play. amit rai pankaj tripathi akshay kumar yami gautam pawan malhotra 
sukhee,2023,"drama much to the dismay of her husband, a middle-class housewife, known for her rebellious attitude in high school, decides to attend her class reunion. sonal joshi shilpa shetty kundra amit sadh chaitannya choudhry kusha kapila "
the great indian family,2023,"family ved vyas tripathi, aka bhajan kumar, is a devout hindu man who faces an identity crisis and a personal dilemma when he discovers he is actually a muslim by birth. vijay krishna acharya alka amin bhuvan arora manushi chhillar srishti dixit "
the bfg,2016,"adventure family fantasy an orphan little girl befriends a benevolent giant who takes her to giant country, where they attempt to stop the man-eating giants that are invading the human world. steven spielberg mark rylance ruby barnhill penelope wilton jemaine clement "
pathaan,2023,"action adventure thriller an indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country. siddharth anand shah rukh khan deepika padukone john abraham dimple kapadia "
mastaney,2023,"action drama history set in 1739, nadar shah's undefeated army was attacked by sikh rebellions. nadar demands to arrest them but it doesn't work out. five ordinary men are hired to play sikh rebellions but over time they learn what sikhs are. sharan art tarsem jassar simi chahal gurpreet ghuggi karamjit anmol "
