movie_name,year,tags
jawan,2023,action thriller highoctan action thriller outlin emot journey man set rectifi wrong societi atle shah rukh khan nayanthara vijay sethupathi deepika padukon
jaane jaan,2023,crime drama mysteri singl mother daughter commit crime neighbor help cover amidst polic investig sujoy ghosh kareena kapoor jaideep ahlawat vijay varma saurabh sachdeva
jailer,2023,action comedi crime retir jailer goe manhunt find son killer road lead familiar albeit bit darker place emerg complex situat success nelson dilipkumar rajinikanth mohanl shivarajkumar jacki shroff
rocky aur rani kii prem kahaani,2023,comedi drama famili flamboy punjabi rocki intellectu bengali journalist rani fall love despit differ face famili opposit decid live other famili three month get marri karan johar ranveer singh alia bhatt dharmendra shabana azmi
omg 2,2023,comedi drama unhappi civilian ask court mandat comprehens educ school dramat yet amus courtroom play amit rai pankaj tripathi akshay kumar yami gautam pawan malhotra
sukhee,2023,drama much dismay husband middleclass housewif known rebelli attitud high school decid attend class reunion sonal joshi shilpa shetti kundra amit sadh chaitannya choudhri kusha kapila
the great indian family,2023,famili ved vya tripathi aka bhajan kumar devout hindu man face ident crisi person dilemma discov actual muslim birth vijay krishna acharya alka amin bhuvan arora manushi chhillar srishti dixit
the bfg,2016,adventur famili fantasi orphan littl girl befriend benevol giant take giant countri attempt stop maneat giant invad human world steven spielberg mark rylanc rubi barnhil penelop wilton jemain clement
pathaan,2023,action adventur thriller indian agent race doomsday clock ruthless mercenari bitter vendetta mount apocalypt attack countri siddharth anand shah rukh khan deepika padukon john abraham dimpl kapadia
mastaney,2023,action drama histori set 1739 nadar shah undef armi attack sikh rebellion nadar demand arrest doesnt work five ordinari men hire play sikh rebellion time learn sikh sharan art tarsem jassar simi chahal gurpreet ghuggi karamjit anmol
3 idiots,2009,comedi drama two friend search long lost companion revisit colleg day recal memori friend inspir think differ even rest world call idiot rajkumar hirani aamir khan madhavan mona singh sharman joshi
satyaprem ki katha,2023,comedi drama music middleclass boy ahmedabad satyaprem fall onesid love katha cope breakup tapan journey discov other life complement accomplish left halfway sameer vidwan kartik aaryan kiara advani supriya pathak gajraj rao
lion,2016,biographi drama fiveyearold indian boy adopt australian coupl get lost hundr kilomet home 25 year later set find lost famili garth davi dev patel nicol kidman rooney mara sunni pawar
bholaa shankar,2023,action drama dote brother tri hunt notori crimin harm sister meher ramesh chiranjeevi tamannaah bhatia keerthi suresh raghu babu
haddi,2023,crime drama zee5 origin film transgend haddi move delhi join gang transgend crossdress head influenti man move aspir driven reveng akshat ajay sharma nawazuddin siddiqui anurag kashyap mohd zeeshan ayyub resh lamba
friday night plan,2023,comedi drama mother take busi trip two bicker brother unit secretli attend hottest parti year return vatsal neelakantan babil khan amrith jayan medha rana aadhya anand
neeyat,2023,crime mysteri thriller mysteri murder take place exil billionair ashish kapoor birthday getaway detect mira rao must use skill unravel deviou motiv suspect kapoor close famili friend anu menon vidya balan ram kapoor rahul bose neeraj kabi
gadar 2,2023,action adventur drama tara singh goe miss skirmish believ captur pakistan son jeet set rescu enter labyrinth must escap cost anil sharma sunni deol amrish puri nana patekar ameesha patel
por thozhil,2023,action crime thriller bright faintheart rooki cop overcom fear order succeed first case see partner reclus senior offic catch serial killer loos vignesh raja senthil paramasivam r sarathkumar ashok selvan nikhila vimal sarath babu
life of pi,2012,adventur drama fantasi young man surviv disast sea hurtl epic journey adventur discoveri cast away form unexpect connect anoth survivor fearsom bengal tiger ang lee suraj sharma irrfan khan adil hussain tabu
asoka,2001,action biographi drama epic tale king asoka life recount santosh sivan shah rukh khan kareena kapoor danni denzongpa hrishitaa bhatt
the darjeeling limited,2007,adventur comedi drama year father funer three brother travel across india train attempt bond we anderson owen wilson adrien brodi jason schwartzman amara karan
dangal,2016,action biographi drama former wrestler mahavir singh phogat two wrestler daughter struggl toward glori commonwealth game face societ oppress nitesh tiwari aamir khan sakshi tanwar fatima sana shaikh sanya malhotra
tumbbad,2018,drama fantasi horror mytholog stori goddess creat entir univers plot revolv around consequ human build templ firstborn rahi anil barv anand gandhi adesh prasad sohum shah jyoti malsh anita datekelkar ronjini chakraborti
dunki,2023,comedi drama rampant use illeg backdoor rout call donkey flight indian immigr countri like canada usa rajkumar hirani shah rukh khan taapse pannu boman irani vicki kaushal
sirf ek bandaa kaafi hai,2023,crime drama thriller common man honesti integr take system truth side apoorv singh karki manoj bajpaye surya mohan kulshreshtha jai hind kumar nikhil pandey
gangs of wasseypur,2012,action comedi crime clash sultan shahid khan lead expuls khan wasseypur ignit deadli blood feud span three gener anurag kashyap manoj bajpaye nawazuddin siddiqui tigmanshu dhulia richa chadha
khufiya,2023,action biographi crime krishna mehra oper indian spi agenc known raw assign track mole sell india defens secret along grappl dual ident spi lover vishal bhardwaj tabu ali fazal wamiqa gabbi azmeri haqu badhon
animal,2023,action crime drama anim stori son obsess love father often away due work father unabl comprehend intens son love iron fervent love see full summari » sandeep reddi vanga ranbir kapoor triptii dimri saurabh sachdeva anil kapoor
miss shetty mr polishetty,2023,comedi drama romanc miss shetti feminist live london want singl forev mr polishetti hyderabad telangana india want commit relationship two appear differ stage life somehow connect mahesh babu p keshav deepak abhinav gomatam jayasudha koushik mahata
bawaal,2023,action drama romanc smalltown man fall love beauti girl town want marri one day marri rais social posit nitesh tiwari varun dhawan janhvi kapoor manoj pahwa anjuman saxena
brahmastra part one: shiva,2022,action adventur fantasi dj superpow ladylov embark mission protect brahmastra weapon enorm energi dark forc close ayan mukerji amitabh bachchan ranbir kapoor alia bhatt nagarjuna akkineni
ghoomer,2023,drama sport anina young bat prodigi lose right hand accid unsympathet fail cricket give new hope train unconvent techniqu turn fate around ghoomer new style bowl invent r balki amitabh bachchan shabana azmi abhishek bachchan saiyami kher
tiger 3,2023,action adventur thriller plot wrap maneesh sharma salman khan katrina kaif
tu jhoothi main makkaar,2023,comedi romanc mad ensu player world romant relationship find girl who worthi oppon believ love battl wit luv ranjan ranbir kapoor shraddha kapoor krrish saini anubhav singh bassi
drishyam 2,2022,crime drama mysteri grip tale investig famili threaten vijay salgaonkar abl protect famili time abhishek pathak ajay devgn akshay khanna tabu shriya saran
gandhi,1982,biographi drama histori life lawyer becam fame leader indian revolt british rule philosophi nonviol protest richard attenborough ben kingsley john gielgud rohini hattangadi roshan seth
pk,2014,comedi drama scifi alien earth lose devic use commun spaceship innoc natur childlik question forc countri evalu impact religi view peopl rajkumar hirani aamir khan anushka sharma sanjay dutt boman irani
my name is khan,2010,adventur drama romanc indian muslim man asperg syndrom take challeng speak presid unit state serious embark crosscountri journey karan johar shah rukh khan kajol sheetal menon kati amanda kean
raees,2017,action crime drama bootlegg set improv commun promis leader fall polit trap rahul dholakia shah rukh khan jaideep ahlawat sunni leon nawazuddin siddiqui
rama banam,2023,action drama two sibl despit differ ideolog come togeth fight common goal sriwass gopichand dimpl hayathi jagapathi babu kushboo
andhadhun,2018,crime mysteri thriller seri mysteri event chang life blind pianist must report crime technic know noth sriram raghavan tabu ayushmann khurrana radhika apt anil dhawan
thank you for coming,2023,comedi five best friend assembl togeth famili gather must navig hilari heartwarm consequ lie discov true depth friendship love karan boolani bhumi pednekar dolli ahluwalia shibani bedi saloni daini
dream girl 2,2023,comedi drama romanc karam tri live seriou life mathura fall love pari life hell bent take serious turn event karam becom pooja creat chao alreadi chaotic life raaj shaandilyaa paresh rawal ananya panday ayushmann khurrana annu kapoor
kushi,2023,comedi drama romanc rais atheist household young man fall love daughter father archriv devout hindu leader shiva nirvana samantha ruth prabhu vijay deverakonda lakshmi murli sharma
taare zameen par,2007,drama famili eightyearold boy thought lazi troublemak new art teacher patienc compass discov real problem behind struggl school aamir khan amol gupt darsheel safari aamir khan tanay chheda sachet engin
drishyam,2015,crime drama mysteri desper measur taken man tri save famili dark side law commit unexpect crime nishik kamat ajay devgn shriya saran tabu rajat kapoor
chor nikal ke bhaga,2023,crime drama thriller flight attend busi partner mission steal diamond free clutch loan sharkat 40000 feet air heist goe horribl wrong turn hostag situat ajay singh yami gautam sunni kaushal sharad kelkar indraneil sengupta
gangubai kathiawadi,2022,biographi crime drama dupe sold brothel young woman fearlessli reclaim power use underworld connect presid world pawn sanjay leela bhansali alia bhatt shantanu maheshwari vijay raaz indira tiwari
gaslight,2023,crime horror mysteri misha return royal famili estat 15 year visit estrang father find miss pavan kirpalani sara ali khan vikrant massey chitrangda singh rahul dev
the buckingham murders,2023,thriller follow jass detectivemoth lose child must investig murder 10yearold buckinghamshir go rabbit hole secret almost everyon small town becom suspect hansal mehta kareena kapoor keith allen haqi ali chri wilson
fighter,2024,action adventur thriller fighter india first aerial action film releas theater 25th januari 2024 siddharth anand hrithik roshan deepika padukon anil kapoor akarsh alagh
bholaa,2023,action adventur crime get prison desir meet daughter bholaa plan interrupt wellorchestr drug bust ajay devgn ajay devgn tabu abhishek bachchan amala paul
om shanti om,2007,action comedi drama 1970 om aspir actor murder immedi reincarn present day attempt discov mysteri demis find shanti love previou life farah khan shah rukh khan deepika padukon arjun rampal kirron kher
kabhi khushi kabhie gham...,2001,drama music romanc marri poor woman rich rahul disown father move london build new life year later nowgrown younger brother rohan embark mission bring rahul back home reunit famili karan johar shah rukh khan kajol amitabh bachchan hrithik roshan
the kerala story,2023,drama convert muslim woman fatima ba narrat ordeal want becom nurs abduct home manipul religi vanguard turn isi terrorist land afghanistan jail sudipto sen vipul amrutl shah adah sharma yogita bihani sonia balani siddhi idnani
vikram vedha,2022,action crime drama tough polic offic set track kill equal tough gangster gayatri pushkar saif ali khan hrithik roshan radhika apt rohit saraf
"swades: we, the people",2004,drama music success indian scientist return indian villag take nanni america process rediscov root ashutosh gowarik shah rukh khan gayatri joshi kishori ballal smith seth
bajrangi bhaijaan,2015,action adventur comedi indian man magnanim heart take young mute pakistani girl back homeland reunit famili kabir khan mehmet tutkun salman khan harshaali malhotra nawazuddin siddiqui kareena kapoor
bloody daddy,2023,action crime drama mess tenaci man face cop crime lord save one relationship matter ali abba zafar shahid kapoor vivan bhatena diana penti ronit roy
the hundred-foot journey,2014,comedi drama kadam famili leav india franc open restaur directli across road madam mallori michelinstar eateri lass hallström helen mirren om puri manish dayal charlott le bon
the kashmir files,2022,drama heartwrench tale captur pain suffer struggl kashmiri pandit commun 1990 lead krishna young colleg student set quest uncov truth vivek agnihotri mithun chakraborti anupam kher darshan kumaar pallavi joshi
akelli,2023,drama thriller ordinari indian girl get trap wartorn land surviv battl pranay meshram nushrratt bharuccha amir boutrou nishant dahiya vijay kumar dogra
omg: oh my god!,2012,comedi drama fantasi shopkeep take god court shop destroy earthquak umesh shukla paresh rawal akshay kumar mithun chakraborti mahesh manjrekar
adipurush,2023,action adventur drama modern adapt indian epic ramayana follow exil princ raghav journey rescu wife janaki raakshash king lankesh om raut kriti sanon saif ali khan prabha devdutta nage
ib 71,2023,action thriller two front war indian intellig agenc pakistani establish sankalp reddi lee whittak anupam kher vidyut jammwal dalip tahil nissar khan
padmaavat,2018,drama histori romanc set mediev rajasthan queen padmavati marri nobl king live prosper fortress subject ambiti sultan hear padmavati beauti form obsess love queen mewar sanjay leela bhansali deepika padukon ranveer singh shahid kapoor aditi rao hydari
zindagi na milegi dobara,2011,comedi drama music three friend decid turn fantasi vacat realiti one friend get engag zoya akhtar hrithik roshan farhan akhtar abhay deol katrina kaif
jab tak hai jaan,2012,drama romanc uncompromis film true love legendari unforgett director yash chopra fascinatingli distinct contemporari yash chopra shah rukh khan katrina kaif anushka sharma luci phelp
monica o my darling,2022,comedi crime drama slick robot expert join murder plot passion affair take sudden turn noth even death seem vasan bala rajkummar rao huma qureshi sikandar kher bagavathi perum
bhediya,2022,comedi fantasi horror set forest arunach bhediya stori bhaskar man get bitten wolf begin transform creatur bhaskar buddi tri find answer bunch twist turn laugh ensu amar kaushik varun dhawan kriti sanon abhishek banerje deepak dobriy
ra.one,2011,action adventur scifi titular antagonist action game take physic form game less power protagonist save creator famili anubhav sinha shah rukh khan arjun rampal kareena kapoor shahana goswami
laal singh chaddha,2022,comedi drama romanc stori laal singh chaddha simpl man whose extraordinari journey fill love warmth happi advait chandan aamir khan ahmad ibn umar kareena kapoor hafsa ashraf
don 2,2011,action crime thriller turn escap vardhaan prison follow recruit team steal currenc print plate bank berlin farhan akhtar shah rukh khan florian luka om puri priyanka chopra jona
chup,2022,crime drama mysteri crime thriller polic hunt killer target film critic r balki dulquer salmaan shreya dhanwanthari sunni deol pooja bhatt
kuch kuch hota hai,1998,comedi drama music colleg year anjali love bestfriend rahul eye tina year later rahul nowdeceas tina eightyearold daughter attempt reunit father anjali karan johar shah rukh khan kajol rani mukerji sana saeed
